Country,Region,Population,Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita) dollars
Afghanistan,ASIA (EX. NEAR EAST),31056997,"48,0",163.07,700
Albania,EASTERN EUROPE,3581655,"124,6",21.52,4500
Algeria,NORTHERN AFRICA,32930091,"13,8",31.0,6000
American Samoa,OCEANIA,57794,"290,4",9.27,8000
Andorra,WESTERN EUROPE,71201,"152,1",4.05,19000
Angola,SUB-SAHARAN AFRICA,12127071,"9,7",191.19,1900
Anguilla,LATIN AMER. & CARIB,13477,"132,1",21.03,8600
Antigua & Barbuda,LATIN AMER. & CARIB,69108,"156,0",19.46,11000
Argentina,LATIN AMER. & CARIB,39921833,"14,4",15.18,11200
Armenia,C.W. OF IND. STATES,2976372,"99,9",23.28,3500
Aruba,LATIN AMER. & CARIB,71891,,5.89,28000
Australia,OCEANIA,20264082,"2,6",4.69,29000
Austria,WESTERN EUROPE,8192880,"97,7",4.66,30000
Azerbaijan,C.W. OF IND. STATES,7961619,"91,9",81.74,3400
"Bahamas, The",LATIN AMER. & CARIB,303770,"21,8",25.21,16700
Bahrain,NEAR EAST,698585,"1050,5",17.27,16900
Bangladesh,ASIA (EX. NEAR EAST),147365352,"1023,4",62.6,1900
Barbados,LATIN AMER. & CARIB,279912,"649,5",12.5,15700
Belarus,C.W. OF IND. STATES,10293011,"49,6",13.37,6100
Belgium,WESTERN EUROPE,10379067,"340,0",4.68,29100
Belize,LATIN AMER. & CARIB,287730,"12,5",25.69,4900
Benin,SUB-SAHARAN AFRICA,7862944,"69,8",85.0,1100
Bermuda,NORTHERN AMERICA,65773,"1241,0",8.53,36000
Bhutan,ASIA (EX. NEAR EAST),2279723,"48,5",100.44,1300
Bolivia,LATIN AMER. & CARIB,8989046,"8,2",53.11,2400
Bosnia & Herzegovina,EASTERN EUROPE,4498976,"88,0",21.05,6100
Botswana,SUB-SAHARAN AFRICA,1639833,"2,7",54.58,9000
Brazil,LATIN AMER. & CARIB,188078227,"22,1",29.61,7600
British Virgin Is.,LATIN AMER. & CARIB,23098,"151,0",18.05,16000
Brunei,ASIA (EX. NEAR EAST),379444,"65,8",12.61,18600
Bulgaria,EASTERN EUROPE,7385367,"66,6",20.55,7600
Burkina Faso,SUB-SAHARAN AFRICA,13902972,"50,7",97.57,1100
Burma,ASIA (EX. NEAR EAST),47382633,"69,8",67.24,1800
Burundi,SUB-SAHARAN AFRICA,8090068,"290,7",69.29,600
Cambodia,ASIA (EX. NEAR EAST),13881427,"76,7",71.48,1900
Cameroon,SUB-SAHARAN AFRICA,17340702,"36,5",68.26,1800
Canada,NORTHERN AMERICA,33098932,"3,3",4.75,29800
Cape Verde,SUB-SAHARAN AFRICA,420979,"104,4",47.77,1400
Cayman Islands,LATIN AMER. & CARIB,45436,"173,4",8.19,35000
Central African Rep.,SUB-SAHARAN AFRICA,4303356,"6,9",91.0,1100
Chad,SUB-SAHARAN AFRICA,9944201,"7,7",93.82,1200
Chile,LATIN AMER. & CARIB,16134219,"21,3",8.8,9900
China,ASIA (EX. NEAR EAST),1313973713,"136,9",24.18,5000
Colombia,LATIN AMER. & CARIB,43593035,"38,3",20.97,6300
Comoros,SUB-SAHARAN AFRICA,690948,"318,4",74.93,700
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,62660551,"26,7",94.69,700
"Congo, Repub. of the",SUB-SAHARAN AFRICA,3702314,"10,8",93.86,700
Cook Islands,OCEANIA,21388,"89,1",,5000
Costa Rica,LATIN AMER. & CARIB,4075261,"79,8",9.95,9100
Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843,"54,8",90.83,1400
Croatia,EASTERN EUROPE,4494749,"79,5",6.84,10600
Cuba,LATIN AMER. & CARIB,11382820,"102,7",6.33,2900
Cyprus,NEAR EAST,784301,,7.18,19200
Czech Republic,EASTERN EUROPE,10235455,"129,8",3.93,
Denmark,WESTERN EUROPE,5450661,"126,5",4.56,31100
Djibouti,SUB-SAHARAN AFRICA,486530,"21,2",104.13,1300
Dominica,LATIN AMER. & CARIB,68910,"91,4",14.15,5400
Dominican Republic,LATIN AMER. & CARIB,9183984,"188,5",32.38,6000
East Timor,ASIA (EX. NEAR EAST),1062777,"70,8",47.41,500
Ecuador,LATIN AMER. & CARIB,13547510,"47,8",23.66,3300
Egypt,NORTHERN AFRICA,78887007,"78,8",32.59,4000
El Salvador,LATIN AMER. & CARIB,6822378,"324,3",25.1,4800
Equatorial Guinea,SUB-SAHARAN AFRICA,540109,"19,3",85.13,2700
Eritrea,SUB-SAHARAN AFRICA,4786994,"39,5",74.87,700
Estonia,BALTICS,1324333,"29,3",7.87,12300
Ethiopia,SUB-SAHARAN AFRICA,74777981,"66,3",95.32,700
Faroe Islands,WESTERN EUROPE,47246,"33,8",6.24,22000
Fiji,OCEANIA,905949,"49,6",12.62,5800
Finland,WESTERN EUROPE,5231372,"15,5",3.57,27400
France,WESTERN EUROPE,60876136,"111,3",4.26,27600
French Guiana,LATIN AMER. & CARIB,199509,"2,2",12.07,8300
French Polynesia,OCEANIA,274578,"65,9",8.44,17500
Gabon,SUB-SAHARAN AFRICA,1424906,"5,3",53.64,5500
"Gambia, The",SUB-SAHARAN AFRICA,1641564,"145,3",72.02,1700
Gaza Strip,NEAR EAST,1428757,"3968,8",22.93,600
Georgia,C.W. OF IND. STATES,4661473,"66,9",18.59,2500
Germany,WESTERN EUROPE,82422299,"230,9",4.16,27600
Ghana,SUB-SAHARAN AFRICA,22409572,"93,6",51.43,2200
Gibraltar,WESTERN EUROPE,27928,"3989,7",5.13,17500
Greece,WESTERN EUROPE,10688058,"81,0",5.53,20000
Greenland,NORTHERN AMERICA,56361,"0,0",15.82,20000
Grenada,LATIN AMER. & CARIB,89703,"260,8",14.62,5000
Guadeloupe,LATIN AMER. & CARIB,452776,"254,4",8.6,8000
Guam,OCEANIA,171019,"316,1",6.94,21000
Guatemala,LATIN AMER. & CARIB,12293545,"112,9",35.93,4100
Guernsey,WESTERN EUROPE,65409,"838,6",4.71,20000
Guinea,SUB-SAHARAN AFRICA,9690222,"39,4",90.37,2100
Guinea-Bissau,SUB-SAHARAN AFRICA,1442029,"39,9",107.17,800
Guyana,LATIN AMER. & CARIB,767245,"3,6",33.26,4000
Haiti,LATIN AMER. & CARIB,8308504,"299,4",73.45,1600
Honduras,LATIN AMER. & CARIB,7326496,"65,4",29.32,2600
Hong Kong,ASIA (EX. NEAR EAST),6940432,"6355,7",2.97,28800
Hungary,EASTERN EUROPE,9981334,"107,3",8.57,13900
Iceland,WESTERN EUROPE,299388,,3.31,30900
India,ASIA (EX. NEAR EAST),1095351995,"333,2",56.29,2900
Indonesia,ASIA (EX. NEAR EAST),245452739,"127,9",35.6,3200
Iran,ASIA (EX. NEAR EAST),68688433,"41,7",41.58,7000
Iraq,NEAR EAST,26783383,"61,3",50.25,1500
Ireland,WESTERN EUROPE,4062235,"57,8",5.39,29600
Isle of Man,WESTERN EUROPE,75441,"131,9",5.93,21000
Israel,NEAR EAST,6352117,"305,8",7.03,19800
Italy,WESTERN EUROPE,58133509,"193,0",5.94,26700
Jamaica,LATIN AMER. & CARIB,2758124,"250,9",12.36,
Japan,ASIA (EX. NEAR EAST),127463611,"337,4",3.26,28200
Jersey,WESTERN EUROPE,91084,"785,2",5.24,24800
Jordan,NEAR EAST,5906760,"64,0",17.35,4300
Kazakhstan,C.W. OF IND. STATES,15233244,"5,6",29.21,6300
Kenya,SUB-SAHARAN AFRICA,34707817,"59,6",61.47,1000
Kiribati,OCEANIA,105432,"130,0",48.52,800
"Korea, North",ASIA (EX. NEAR EAST),23113019,"191,8",24.04,1300
"Korea, South",ASIA (EX. NEAR EAST),48846823,"496,0",7.05,17800
Kuwait,NEAR EAST,2418393,"135,7",9.95,19000
Kyrgyzstan,C.W. OF IND. STATES,5213898,"26,3",35.64,1600
Laos,ASIA (EX. NEAR EAST),6368481,"26,9",85.22,
Latvia,BALTICS,2274735,"35,2",9.55,10200
Lebanon,NEAR EAST,3874050,"372,5",24.52,4800
Lesotho,SUB-SAHARAN AFRICA,2022331,"66,6",84.23,3000
Liberia,SUB-SAHARAN AFRICA,3042004,"27,3",128.87,1000
Libya,NORTHERN AFRICA,5900754,"3,4",24.6,6400
Liechtenstein,WESTERN EUROPE,33987,"212,4",4.7,25000
Lithuania,BALTICS,3585906,"55,0",6.89,11400
Luxembourg,WESTERN EUROPE,474413,"183,5",4.81,55100
Macau,ASIA (EX. NEAR EAST),453125,"16183,0",4.39,19400
Macedonia,EASTERN EUROPE,2050554,"80,9",10.09,6700
Madagascar,SUB-SAHARAN AFRICA,18595469,"31,7",76.83,800
Malawi,SUB-SAHARAN AFRICA,13013926,"109,8",103.32,600
Malaysia,ASIA (EX. NEAR EAST),24385858,,17.7,9000
Maldives,ASIA (EX. NEAR EAST),359008,"1196,7",56.52,3900
Mali,SUB-SAHARAN AFRICA,11716829,"9,5",116.79,900
Malta,WESTERN EUROPE,400214,"1266,5",3.89,17700
Marshall Islands,OCEANIA,60422,"5,1",29.45,1600
Martinique,LATIN AMER. & CARIB,436131,"396,5",7.09,14400
Mauritania,SUB-SAHARAN AFRICA,3177388,"3,1",70.89,1800
Mauritius,SUB-SAHARAN AFRICA,1240827,"608,3",15.03,11400
Mayotte,SUB-SAHARAN AFRICA,201234,"538,1",62.4,2600
Mexico,LATIN AMER. & CARIB,107449525,"54,5",20.91,9000
"Micronesia, Fed. St.",OCEANIA,108004,"153,9",30.21,2000
Moldova,C.W. OF IND. STATES,4466706,"132,0",40.42,1800
Monaco,WESTERN EUROPE,32543,"16271,5",5.43,27000
Mongolia,ASIA (EX. NEAR EAST),2832224,"1,8",53.79,1800
Montserrat,LATIN AMER. & CARIB,9439,"92,5",7.35,3400
Morocco,NORTHERN AFRICA,33241259,"74,4",41.62,4000
Mozambique,SUB-SAHARAN AFRICA,19686505,"24,6",130.79,1200
Namibia,SUB-SAHARAN AFRICA,2044147,"2,5",48.98,7200
Nauru,OCEANIA,13287,"632,7",9.95,5000
Nepal,ASIA (EX. NEAR EAST),28287147,"192,2",66.98,1400
Netherlands,WESTERN EUROPE,16491461,"397,1",5.04,28600
Netherlands Antilles,LATIN AMER. & CARIB,221736,"231,0",10.03,11400
New Caledonia,OCEANIA,219246,"11,5",7.72,15000
New Zealand,OCEANIA,4076140,"15,2",5.85,21600
Nicaragua,LATIN AMER. & CARIB,5570129,"43,0",29.11,2300
Niger,SUB-SAHARAN AFRICA,12525094,"9,9",121.69,800
Nigeria,SUB-SAHARAN AFRICA,131859731,"142,7",98.8,900
N. Mariana Islands,OCEANIA,82459,"172,9",7.11,12500
Norway,WESTERN EUROPE,4610820,"14,2",3.7,37800
Oman,NEAR EAST,3102229,"14,6",19.51,13100
Pakistan,ASIA (EX. NEAR EAST),165803560,"206,2",72.44,2100
Palau,OCEANIA,20579,"44,9",14.84,9000
Panama,LATIN AMER. & CARIB,3191319,"40,8",20.47,6300
Papua New Guinea,OCEANIA,5670544,"12,3",51.45,2200
Paraguay,LATIN AMER. & CARIB,6506464,"16,0",25.63,4700
Peru,LATIN AMER. & CARIB,28302603,"22,0",31.94,5100
Philippines,ASIA (EX. NEAR EAST),89468677,"298,2",23.51,4600
Poland,EASTERN EUROPE,38536869,"123,3",8.51,11100
Portugal,WESTERN EUROPE,10605870,"114,8",5.05,18000
Puerto Rico,LATIN AMER. & CARIB,3927188,"284,8",8.24,16800
Qatar,NEAR EAST,885359,"77,4",18.61,21500
Reunion,SUB-SAHARAN AFRICA,787584,"312,9",7.78,5800
Romania,EASTERN EUROPE,22303552,"93,9",26.43,7000
Russia,C.W. OF IND. STATES,142893540,"8,4",15.39,8900
Rwanda,SUB-SAHARAN AFRICA,8648248,"328,4",91.23,1300
Saint Helena,SUB-SAHARAN AFRICA,7502,"18,2",19.0,2500
Saint Kitts & Nevis,LATIN AMER. & CARIB,39129,"149,9",14.49,8800
Saint Lucia,LATIN AMER. & CARIB,168458,"273,5",13.53,5400
St Pierre & Miquelon,NORTHERN AMERICA,7026,"29,0",7.54,6900
Saint Vincent and the Grenadines,LATIN AMER. & CARIB,117848,"303,0",14.78,2900
Samoa,OCEANIA,176908,"60,1",27.71,5600
San Marino,WESTERN EUROPE,29251,"479,5",5.73,34600
Sao Tome & Principe,SUB-SAHARAN AFRICA,193413,"193,2",43.11,1200
Saudi Arabia,NEAR EAST,27019731,,13.24,11800
Senegal,SUB-SAHARAN AFRICA,11987121,"61,1",55.51,1600
Serbia,EASTERN EUROPE,9396411,"106,3",12.89,2200
Seychelles,SUB-SAHARAN AFRICA,81541,"179,2",15.53,
Sierra Leone,SUB-SAHARAN AFRICA,6005250,"83,7",143.64,500
Singapore,ASIA (EX. NEAR EAST),4492150,"6482,2",2.29,23700
Slovakia,EASTERN EUROPE,5439448,"111,4",7.41,13300
Slovenia,EASTERN EUROPE,2010347,"99,2",4.45,19000
Solomon Islands,OCEANIA,552438,"19,4",21.29,1700
Somalia,SUB-SAHARAN AFRICA,8863338,"13,9",116.7,500
South Africa,SUB-SAHARAN AFRICA,44187637,"36,2",61.81,10700
Spain,WESTERN EUROPE,40397842,"80,0",4.42,22000
Sri Lanka,ASIA (EX. NEAR EAST),20222240,"308,2",14.35,3700
Sudan,SUB-SAHARAN AFRICA,41236378,"16,5",62.5,1900
Suriname,LATIN AMER. & CARIB,439117,"2,7",23.57,400000
Swaziland,SUB-SAHARAN AFRICA,1136334,"65,5",69.27,4900
Sweden,WESTERN EUROPE,9016596,"20,0",2.77,26800
Switzerland,WESTERN EUROPE,7523934,"182,2",4.39,32700
Syria,NEAR EAST,18881361,"102,0",29.53,3300
Taiwan,ASIA (EX. NEAR EAST),23036087,"640,3",6.4,23400
Tajikistan,C.W. OF IND. STATES,7320815,"51,2",110.76,1000
Tanzania,SUB-SAHARAN AFRICA,37445392,"39,6",98.54,600
Thailand,ASIA (EX. NEAR EAST),64631595,"125,7",20.48,7400
Togo,SUB-SAHARAN AFRICA,5548702,"97,7",66.61,1500
Tonga,OCEANIA,114689,"153,3",12.62,2200
Trinidad & Tobago,LATIN AMER. & CARIB,1065842,"207,9",24.31,9500
Tunisia,NORTHERN AFRICA,10175014,"62,2",24.77,6900
Turkey,NEAR EAST,70413958,"90,2",41.04,6700
Turkmenistan,C.W. OF IND. STATES,5042920,"10,3",73.08,5800
Turks & Caicos Is,LATIN AMER. & CARIB,21152,"49,2",15.67,9600
Tuvalu,OCEANIA,11810,"454,2",20.03,1100
Uganda,SUB-SAHARAN AFRICA,28195754,"119,5",67.83,1400
Ukraine,C.W. OF IND. STATES,46710816,"77,4",20.34,5400
United Arab Emirates,NEAR EAST,2602713,"31,4",14.51,23200
United Kingdom,WESTERN EUROPE,60609153,"247,6",5.16,27700
United States,NORTHERN AMERICA,298444215,"31,0",6.5,37800
Uruguay,LATIN AMER. & CARIB,3431932,"19,5",11.95,12800
Uzbekistan,C.W. OF IND. STATES,27307134,"61,0",71.1,1700
Vanuatu,OCEANIA,208869,"17,1",55.16,2900
Venezuela,LATIN AMER. & CARIB,25730435,"28,2",22.2,4800
Vietnam,ASIA (EX. NEAR EAST),84402966,"256,1",25.95,2500
Virgin Islands,LATIN AMER. & CARIB,108605,"56,9",8.03,17200
Wallis and Futuna,OCEANIA,16025,"58,5",,3700
West Bank,NEAR EAST,2460492,"419,9",19.62,800
Western Sahara,NORTHERN AFRICA,273008,"1,0",,
Yemen,NEAR EAST,21456188,"40,6",61.5,800
Zambia,SUB-SAHARAN AFRICA,11502010,"15,3",88.29,800
Zimbabwe,SUB-SAHARAN AFRICA,12236805,"31,3",67.69,1900
